plotID	type	date	precipitation_radolan	precipitation_radolan_rain_days	SD_Olivieri	SM_10	SM_20	Ta_10	Ta_200	Ta_200_cold_days	Ta_200_cool_days	Ta_200_growing_degree_days_10	Ta_200_ice_days	Ta_200_min	Ta_200_max	Ta_200_summer_days	Ta_200_tropical_days	Ta_200_tropical_nights	Ta_200_warm_days	Ts_05	Ts_10	Ts_20	Ts_50	WD	WV	WV_gust	Ta_200_max_raw	Ta_200_min_raw
AEG03	cowManure	24/05/2022	NA	NA	NA	46.17771	36.05	16.74583	12.81333	0	0	3.405	0	10.24	16.57	0	0	0	0	16.9975	16.73375	15.95667	14.43042	NA	NA	NA	16.57	10.24
AEG03	cowManure	25/05/2022	NA	NA	NA	46.12001	35.92228	16.26958	12.58583	0	0	4.165	0	8.55	18.33	0	0	0	0	16.72833	16.48375	15.76292	14.36333	NA	NA	NA	18.33	8.55
AEG03	cowManure	26/05/2022	NA	NA	NA	45.76667	35.69104	15.84208	12.70375	0	0	3.515	0	8.11	17.03	0	0	0	0	16.19292	15.99125	15.41458	14.24333	NA	NA	NA	17.03	8.11
AEG03	cowManure	27/05/2022	NA	NA	NA	45.10271	35.44709	14.6875	11.53625	0	0	3.495	0	7.23	16.99	0	0	0	0	15.735	15.63625	15.20667	14.12875	NA	NA	NA	16.99	7.23
AEG03	cowManure	28/05/2022	NA	NA	NA	44.36479	35.17979	14.49458	9.62875	0	0	1.89	0	4.96	13.78	0	0	0	0	15.54375	15.39542	14.95667	13.97208	NA	NA	NA	13.78	4.96
AEG03	cowManure	29/05/2022	NA	NA	NA	43.45833	34.88958	12.35417	7.2575	0	0	0.98	0	2.23	11.96	0	0	0	0	14.48125	14.51708	14.43083	13.77833	NA	NA	NA	11.96	2.23
AEG03	cowManure	30/05/2022	NA	NA	NA	42.37666	34.56895	12.91583	9.07	0	0	3.625	0	1.33	17.25	0	0	0	0	13.9925	14.01083	13.95458	13.49208	NA	NA	NA	17.25	1.33
AEG03	cowManure	31/05/2022	NA	NA	NA	41.12896	34.17396	15.13167	12.76458	0	0	5.225	0	5.92	20.45	0	0	0	1	14.73083	14.51375	14.075	13.35167	NA	NA	NA	20.45	5.92
AEG03	cowManure	01/06/2022	NA	NA	NA	40.12083	33.75438	14.51208	13.11292	0	0	4.36	0	6.43	18.72	0	0	0	0	14.975	14.78584	14.26125	13.38125	NA	NA	NA	18.72	6.43
AEG03	cowManure	02/06/2022	NA	NA	NA	39.24333	33.39458	16.94083	14.25333	0	0	5.31	0	8.08	20.62	0	0	0	1	15.65292	15.26125	14.42833	13.41958	NA	NA	NA	20.62	8.08
AEG03	cowManure	03/06/2022	NA	NA	NA	38.56937	33.10501	18.72208	16.84125	0	0	8.275	0	11.39	25.16	1	0	0	1	16.805	16.32166	15.19083	13.7	NA	NA	NA	25.16	11.39
AEG03	cowManure	04/06/2022	NA	NA	NA	38.06417	32.82021	20.20542	17.95292	0	0	8.04	0	12.17	23.91	0	0	0	1	17.56417	17.02167	15.75667	14.03833	NA	NA	NA	23.91	12.17
